donor	receiver	compound	mass_rate	rate	frequency	community	medium
Desulfovibrio	Lacrimospora	M_etoh_e	0.00046768837723926826	0.01015208706307753	0.19	compost	xylan
environment	Lacrimospora	M_cys__L_e	0.00045439219155899216	0.0037504132339615678	0.76	compost	xylan
Caproibacter	Robinsonella	M_co2_e	0.00038138726698662054	0.008666021358720742	0.74	compost	xylan
Lacrimospora	environment	M_4hba_e	0.00034371459463042564	0.0027688350090136426	0.96	compost	xylan
Caproibacter	Robinsonella	M_gal_e	0.00032949216832879466	0.0018289330673895686	0.04	compost	xylan
Robinsonella	Desulfovibrio	M_cell4_e	0.00030478072208206725	0.00045723326684739214	0.04	compost	xylan
Robinsonella	Lacrimospora	M_mal__L_e	0.00021966134892972768	0.0016632014874509368	0.06	compost	xylan
Desulfovibrio	environment	M_co2_e	0.00020317411807822957	0.004616596827462923	1.0	compost	xylan
Lacrimospora	Desulfovibrio	M_rib__D_e	0.000193910064367481	0.001291618665002421	0.65	compost	xylan
Caproibacter	Lacrimospora	M_ura_e	0.00018718884670670212	0.0016700376914519856	0.09	compost	xylan
Desulfovibrio	environment	M_for_e	0.00018494461347156116	0.004108291759887535	0.28	compost	xylan
Desulfovibrio	Caproibacter	M_lac__L_e	0.00017574173823318333	0.001973078846401174	0.15	compost	xylan
Robinsonella	Desulfovibrio	M_asp__D_e	0.00015410483345466218	0.0011666256615881975	0.04	compost	xylan
Lacrimospora	Desulfovibrio	M_asp__D_e	0.0001520276088123446	0.0011509003691474256	0.96	compost	xylan
Lacrimospora	Caproibacter	M_gcald_e	0.00013796238148296625	0.0022973896116846824	0.19	compost	xylan
Lacrimospora	environment	M_gcald_e	0.00013364779342130498	0.0022255418392338783	1.0	compost	xylan
Caproibacter	Lacrimospora	M_acald_e	0.00011888125902701589	0.0026986329695321003	0.01	compost	xylan
Caproibacter	environment	M_acald_e	0.00011817000647295018	0.002682487366703067	0.01	compost	xylan
Caproibacter	environment	M_h2_e	0.00010313233378792711	0.051161987195122084	0.44	compost	xylan
Lacrimospora	Robinsonella	M_anhgm_e	9.782555862894447e-05	0.00020489662676822628	0.02	compost	xylan
Lacrimospora	Robinsonella	M_gua_e	7.497074350954962e-05	0.0004960813699673559	1.0	compost	xylan
Lacrimospora	Robinsonella	M_ura_e	7.41806888494896e-05	0.0006618158535408298	0.82	compost	xylan
Caproibacter	Lacrimospora	M_h2s_e	7.261009455566718e-05	0.0021305278795001057	0.13	compost	xylan
Robinsonella	environment	M_h2s_e	6.785740393461793e-05	0.0019910742686385864	0.04	compost	xylan
Lacrimospora	Desulfovibrio	M_mal__L_e	6.529801046664396e-05	0.0004944144641962149	0.45	compost	xylan
Lacrimospora	Caproibacter	M_gua_e	6.236212467076778e-05	0.00041265014581066376	1.0	compost	xylan
Lacrimospora	Caproibacter	M_ura_e	6.001005541552194e-05	0.0005353900949401797	0.44	compost	xylan
Caproibacter	Robinsonella	M_ura_e	5.2128561612247755e-05	0.0004650739839753168	0.29	compost	xylan
Desulfovibrio	environment	M_h2s_e	4.28994040446638e-05	0.001258755781691269	0.73	compost	xylan
Caproibacter	Desulfovibrio	M_lac__L_e	3.7679619228879384e-05	0.000423034734880727	0.15	compost	xylan
Desulfovibrio	environment	M_succ_e	3.395623893720178e-05	0.0002925446183162328	0.43	compost	xylan
Desulfovibrio	environment	M_h2_e	2.700087914317261e-05	0.013394622057333373	0.67	compost	xylan
Caproibacter	Robinsonella	M_acald_e	2.6590068320040693e-05	0.0006036009007463996	0.01	compost	xylan
Desulfovibrio	Robinsonella	M_co2_e	2.6354516785157123e-05	0.000598836996220296	0.74	compost	xylan
environment	Robinsonella	M_cys__L_e	2.3796528153062453e-05	0.0001964092160153193	0.83	compost	xylan
Robinsonella	Desulfovibrio	M_mal__L_e	2.1868902958523603e-05	0.0001655839414023292	0.55	compost	xylan
Caproibacter	Desulfovibrio	M_acald_e	1.533869915795496e-05	0.00034819213386682603	0.09	compost	xylan
Caproibacter	Lacrimospora	M_thym_e	1.273491358500782e-05	0.00010098010107600099	0.18	compost	xylan
Lacrimospora	Desulfovibrio	M_gua_e	1.0929274784330137e-05	7.231900544069639e-05	1.0	compost	xylan
Lacrimospora	Desulfovibrio	M_ura_e	1.0797590691292281e-05	9.63325740212682e-05	0.82	compost	xylan
Robinsonella	Lacrimospora	M_h2s_e	8.97472099270691e-06	0.0002633365705237821	0.02	compost	xylan
Caproibacter	Robinsonella	M_h2s_e	8.876497375274753e-06	0.0002604544897794287	0.94	compost	xylan
Caproibacter	Desulfovibrio	M_ura_e	7.557247118469964e-06	6.74232880511137e-05	0.29	compost	xylan
Lacrimospora	Robinsonella	M_h2s_e	3.454099746016282e-06	0.00010135031296261478	0.74	compost	xylan
environment	Desulfovibrio	M_cys__L_e	3.3081670207486396e-06	2.7304591947769303e-05	1.0	compost	xylan
Desulfovibrio	Robinsonella	M_acald_e	1.7629683238034318e-06	4.001980195865451e-05	0.01	compost	xylan
environment	Caproibacter	M_ascb__L_e	1.761238e-06	1e-05	0.82	compost	xylan
environment	Desulfovibrio	M_ascb__L_e	1.761238e-06	1e-05	0.01	compost	xylan
environment	Robinsonella	M_ascb__L_e	1.761238e-06	1e-05	0.08	compost	xylan
environment	Desulfovibrio	M_pydxn_e	1.6917740000000004e-06	9.999999999999999e-06	0.99	compost	xylan
environment	Lacrimospora	M_nac_e	1.6558660844607028e-06	1.3561412404787684e-05	1.0	compost	xylan
Caproibacter	Desulfovibrio	M_h2s_e	1.29697075371158e-06	3.805576024364393e-05	0.19	compost	xylan
Desulfovibrio	environment	M_meoh_e	1.2792792173015783e-06	3.992544769165113e-05	0.28	compost	xylan
Desulfovibrio	environment	M_fald_e	1.1974176536482277e-06	3.987949249308856e-05	0.05	compost	xylan
Caproibacter	Desulfovibrio	M_thym_e	9.838583815455931e-07	7.801397170837866e-06	0.01	compost	xylan
Desulfovibrio	Lacrimospora	M_h2s_e	8.319585237609267e-07	2.4411355477598143e-05	0.08	compost	xylan
environment	Lacrimospora	M_pnto__R_e	6.369535036949625e-07	2.918773822484184e-06	0.98	compost	xylan
environment	Robinsonella	M_fol_e	6.022850740090195e-07	1.3707584330794065e-06	1.0	compost	xylan
environment	Robinsonella	M_nac_e	5.699133315736731e-07	4.667545157780247e-06	1.0	compost	xylan
Lacrimospora	Desulfovibrio	M_h2_e	4.405173259984023e-07	0.00021853225815973923	0.11	compost	xylan
Lacrimospora	Desulfovibrio	M_h2s_e	4.226372257854388e-07	1.240103594356467e-05	0.12	compost	xylan
environment	Lacrimospora	M_thm_e	3.5227477114113164e-07	1.3275658324265505e-06	0.04	compost	xylan
Desulfovibrio	Robinsonella	M_h2s_e	3.367855769540802e-07	9.881973925321012e-06	0.69	compost	xylan
environment	Robinsonella	M_pnto__R_e	2.575517946159609e-07	1.1802045701893119e-06	0.99	compost	xylan
Caproibacter	environment	M_5drib_e	2.5408079483606655e-07	1.8942861806266198e-06	0.02	compost	xylan
Lacrimospora	Desulfovibrio	M_gcald_e	1.1073970126224157e-07	1.844069640914037e-06	0.01	compost	xylan
Caproibacter	environment	M_gcald_e	6.790854577785179e-08	1.130832810637679e-06	0.17	compost	xylan
Caproibacter	Desulfovibrio	M_h2_e	5.646219614867582e-08	2.8009820492447573e-05	0.08	compost	xylan
environment	Desulfovibrio	M_no2_e	4.713185881392817e-08	1.0244831338411315e-06	0.01	compost	xylan
Caproibacter	environment	M_thym_e	1.2145007155820819e-08	9.630250272034245e-08	0.01	compost	xylan
environment	Desulfovibrio	M_acald_e	8.348528989537872e-09	1.8951360174560006e-07	0.02	compost	xylan
Lacrimospora	environment	M_ura_e	6.837214841220048e-09	6.09993954783181e-08	0.09	compost	xylan
environment	Robinsonella	M_ura_e	1.3858667060283118e-09	1.2364249660782931e-08	0.12	compost	xylan
environment	Desulfovibrio	M_ura_e	2.0172188239564764e-10	1.7996966844890263e-09	0.12	compost	xylan
