donor	receiver	compound	mass_rate	rate	frequency	community	medium
Caproibacter	environment	M_h2_e	0.00012304755488039753	0.06104154920150687	0.47	compost	xylan
Robinsonella	environment	M_h2s_e	0.00011852988127051807	0.0034779078328712383	0.06	compost	xylan
Lacrimospora	Robinsonella	M_anhgm_e	8.71188691701533e-05	0.00018247135688265108	0.04	compost	xylan
Lacrimospora	Desulfovibrio	M_mal__L_e	8.569747076299677e-05	0.0006488722824396256	0.43	compost	xylan
Lacrimospora	Robinsonella	M_ura_e	7.541819519862857e-05	0.000672856480601861	0.77	compost	xylan
Lacrimospora	Robinsonella	M_gua_e	7.49707435095496e-05	0.0004960813699673559	1.0	compost	xylan
Desulfovibrio	environment	M_inost_e	7.38861285467484e-05	0.00041012441784563997	0.01	compost	xylan
Caproibacter	Robinsonella	M_gal_e	7.384947732905527e-05	0.0004099209756080321	0.02	compost	xylan
Robinsonella	Desulfovibrio	M_cell4_e	6.831087105922491e-05	0.00010248024390200803	0.02	compost	xylan
Lacrimospora	Caproibacter	M_gua_e	6.236097905422278e-05	0.00041264256526659423	1.0	compost	xylan
Lacrimospora	Caproibacter	M_ura_e	6.140629126776136e-05	0.0005478468547334059	0.36	compost	xylan
Caproibacter	Lacrimospora	M_h2s_e	6.053680987866879e-05	0.0017762731473048986	0.12	compost	xylan
Caproibacter	Robinsonella	M_ura_e	5.5849452144794926e-05	0.0004982705528117984	0.32	compost	xylan
Desulfovibrio	environment	M_h2s_e	4.534533456378943e-05	0.0013305243586943217	0.77	compost	xylan
Desulfovibrio	environment	M_succ_e	3.7155399101166665e-05	0.0003201064778858524	0.48	compost	xylan
environment	Robinsonella	M_cys__L_e	3.583408690237745e-05	0.00029576351936091207	0.82	compost	xylan
Desulfovibrio	environment	M_h2_e	2.9774874507416148e-05	0.014770748341807794	0.6	compost	xylan
Caproibacter	Robinsonella	M_acald_e	2.9506768178619173e-05	0.0006698106840630516	0.05	compost	xylan
Desulfovibrio	Robinsonella	M_co2_e	2.8805267912886852e-05	0.0006545238621862745	0.71	compost	xylan
Caproibacter	environment	M_pta_e	2.8751733130537e-05	0.0002843232439824709	0.02	compost	xylan
Caproibacter	Desulfovibrio	M_acald_e	2.5204118880806767e-05	0.0005721395175020378	0.12	compost	xylan
Caproibacter	Lacrimospora	M_acald_e	2.2089234577647645e-05	0.0005014308999656691	0.03	compost	xylan
Caproibacter	Lacrimospora	M_thym_e	1.323049906132657e-05	0.00010490979177679853	0.28	compost	xylan
Robinsonella	Desulfovibrio	M_mal__L_e	1.2870192936207714e-05	9.744875072277358e-05	0.52	compost	xylan
Lacrimospora	Desulfovibrio	M_ura_e	1.0977906022901879e-05	9.794128845822674e-05	0.77	compost	xylan
Lacrimospora	Desulfovibrio	M_gua_e	1.0929274784330137e-05	7.231900544069639e-05	1.0	compost	xylan
Caproibacter	Robinsonella	M_h2s_e	8.856728311925362e-06	0.00025987442524604367	0.86	compost	xylan
Desulfovibrio	Lacrimospora	M_acald_e	8.351544781168234e-06	0.00018958206093579996	0.01	compost	xylan
Caproibacter	Desulfovibrio	M_ura_e	8.129320922101901e-06	7.252714349531435e-05	0.32	compost	xylan
Lacrimospora	Caproibacter	M_h2_e	7.863367802910454e-06	0.0039008670517464298	0.01	compost	xylan
Lacrimospora	Robinsonella	M_h2s_e	3.5590932932415273e-06	0.00010443103721865473	0.68	compost	xylan
environment	Desulfovibrio	M_cys__L_e	3.3084195222497877e-06	2.730667601741023e-05	1.0	compost	xylan
Robinsonella	Lacrimospora	M_h2s_e	3.273273050092235e-06	9.604448986209936e-05	0.01	compost	xylan
Desulfovibrio	Lacrimospora	M_h2s_e	2.8870446466874223e-06	8.471176283090254e-05	0.08	compost	xylan
environment	Robinsonella	M_ascb__L_e	1.761238e-06	1e-05	0.05	compost	xylan
environment	Caproibacter	M_ascb__L_e	1.7612379999999997e-06	1e-05	0.83	compost	xylan
environment	Desulfovibrio	M_pydxn_e	1.6917740000000002e-06	9.999999999999999e-06	0.98	compost	xylan
Desulfovibrio	environment	M_meoh_e	1.659432764033238e-06	5.178978531205392e-05	0.38	compost	xylan
environment	Lacrimospora	M_nac_e	1.655866084460702e-06	1.3561412404787679e-05	1.0	compost	xylan
Lacrimospora	Desulfovibrio	M_istfrnB_e	1.2457425982339498e-06	2.0020783460282916e-06	0.01	compost	xylan
Desulfovibrio	environment	M_fald_e	1.1997336942010752e-06	3.995662725184175e-05	0.03	compost	xylan
Caproibacter	Desulfovibrio	M_h2s_e	1.1850868018151722e-06	3.4772857497921775e-05	0.11	compost	xylan
Desulfovibrio	Lacrimospora	M_stfrnB_e	1.1339365329999997e-06	2.0020783460282916e-06	0.01	compost	xylan
Lacrimospora	Desulfovibrio	M_etoh_e	7.874963275144909e-07	1.7094141457979495e-05	0.01	compost	xylan
environment	Lacrimospora	M_pnto__R_e	6.384841635940393e-07	2.925787913808959e-06	0.97	compost	xylan
environment	Robinsonella	M_fol_e	6.022850740091746e-07	1.37075843307976e-06	1.0	compost	xylan
Lacrimospora	Desulfovibrio	M_h2s_e	5.952771409779605e-07	1.7466642243666837e-05	0.07	compost	xylan
environment	Robinsonella	M_nac_e	5.699133315736786e-07	4.667545157780292e-06	1.0	compost	xylan
Lacrimospora	Desulfovibrio	M_h2_e	4.983266844339926e-07	0.0002472103802133111	0.2	compost	xylan
environment	Caproibacter	M_ribflv_e	4.3024768897084196e-07	1.137081610446148e-06	0.02	compost	xylan
Desulfovibrio	Robinsonella	M_h2s_e	3.569223973652114e-07	1.047282919899801e-05	0.66	compost	xylan
environment	Lacrimospora	M_thm_e	3.5227477114113164e-07	1.3275658324265505e-06	0.08	compost	xylan
Desulfovibrio	Caproibacter	M_h2_e	2.77833541188758e-07	0.00013782792994779147	0.01	compost	xylan
Caproibacter	environment	M_5drib_e	2.626299467490608e-07	1.9580239390640936e-06	0.01	compost	xylan
Caproibacter	environment	M_R_3httdca_e	2.621065638356628e-07	1.0770264780622998e-06	0.01	compost	xylan
environment	Robinsonella	M_pnto__R_e	2.5755179461429034e-07	1.180204570181657e-06	1.0	compost	xylan
Caproibacter	Desulfovibrio	M_mal__L_e	2.0495785477475515e-07	1.5518715995647443e-06	0.01	compost	xylan
Caproibacter	Desulfovibrio	M_h2_e	1.0494360638498864e-07	5.206052504464164e-05	0.11	compost	xylan
Caproibacter	environment	M_gcald_e	6.828379745626047e-08	1.1370816104806263e-06	0.14	compost	xylan
Lacrimospora	environment	M_rib__D_e	3.076102813877009e-08	2.0489662683729776e-07	0.01	compost	xylan
Caproibacter	environment	M_thym_e	2.988848450860888e-08	2.3699746107746838e-07	0.03	compost	xylan
environment	Robinsonella	M_ura_e	6.053465762570881e-09	5.4007042434785964e-08	0.15	compost	xylan
Lacrimospora	environment	M_ura_e	5.1279111309170015e-09	4.574954660875609e-08	0.12	compost	xylan
Lacrimospora	environment	M_acald_e	1.871867486870167e-09	4.249183896609872e-08	0.04	compost	xylan
environment	Desulfovibrio	M_ura_e	8.811211809428774e-10	7.861075105702887e-09	0.15	compost	xylan
